Rank,Polish,English
300,twoim,your
301,widziałem,I saw
302,stanie,will
303,powiem,will
304,imię,name
305,wy,you
306,żebyś,do
307,nadzieję,hope
308,twojej,your
309,panu,lady
310,spokój,peace
311,słuchaj,listen
312,rację,race
313,spójrz,look
314,razie,present
315,znam,I know
316,pierwszy,first
317,koniec,the end
318,chciałbym,I'd like
319,we,in
320,nami,us
321,jakie,what
322,posłuchaj,listen
323,problem,problem
324,przecież,yet
325,dobre,good
326,nasz,our
327,dziecko,kid
328,drzwi,door
329,nasze,our
330,miło,nice
331,czuję,I feel
332,mógł,he could
333,żyje,lives
334,jeżeli,if
335,człowiek,man
336,powiedziałem,I said
337,gdyby,if
338,roku,year
339,dom,House
340,sama,alone
341,potrzebuję,need
342,wszystkim,all
343,zostać,stay
344,wciąż,still
345,dokładnie,Exactly
346,mama,mom
347,którzy,who
348,mówić,to talk
349,zamknij,close
350,mów,talk
351,twoją,your
352,chwilę,moments
353,zrobił,did
354,samo,itself
355,idziemy,we go
356,nadal,still
357,jesteście,you are
358,zabić,kill
359,były,were
360,sobą,in
361,kogo,whom
362,lub,or
363,lubię,I like
364,the,the
365,podoba,like
366,minut,minute
367,bym,for
368,chciał,she wanted
369,bądź,be
370,czegoś,doom
371,gdzieś,somewhere
372,mówiłem,I said
373,chodźmy,let
374,znaleźć,to find
375,poza,apart from
376,spokojnie,relax
377,wcześniej,earlier
378,został,left
379,rozumiesz,you understand
380,mogą,can
381,prawie,almost
382,wydaje,spends
383,miała,she had
384,mały,small
385,byłeś,you were
386,facet,guy
387,zrobię,I will do
388,macie,you have
389,żadnych,any
390,razy,times
391,noc,night
392,ciągle,Still
393,broń,weapon
394,moich,my
395,twojego,your
396,końcu,end
397,pomocy,help
398,czekaj,wait
399,znasz,you know
400,oczy,eyes
401,weź,take
402,idę,I'm going
403,halo,Hello
404,dość,enough
405,innego,another
406,pomysł,idea
407,jakby,as if
408,trzymaj,hold
409,jedno,one
410,ojca,father
411,porozmawiać,talk
412,pamiętasz,Do you remember
413,lata,years
414,powinieneś,you should
415,którą,which
416,powodu,reason
417,takim,such
418,niczego,nobody
419,powinniśmy,we should
420,oto,here
421,napisy,Subtitles
422,jednak,but
423,świat,world
424,pokoju,room
425,żebym,for
426,sprawy,issues
427,dwie,two
428,samochód,car
429,swój,your
430,wystarczy,enough
431,pewien,a
432,źle,badly
433,pozwól,let
434,numer,number
435,jedną,one
436,miejscu,place
437,you,you
438,drogi,expensive
439,byłam,I was
440,dokąd,where
441,miłość,love
442,panowie,gentlemen
443,pieniędzy,money
444,którego,whose
445,matka,mother
446,rano,in the morning
447,dwóch,two
448,całe,all
449,patrz,Look
450,rzecz,thing
451,nowy,new
452,idzie,goes
453,wyglądasz,you look
454,bóg,God
455,byś,you would
456,życiu,life
457,nimi,doom
458,nikogo,nobody
459,całą,whole
460,swojego,itself
461,świecie,world
462,sprawa,thing
463,dziewczyna,girl
464,prawo,law
465,byli,they were
466,zostaw,leave
467,wiedziałem,I knew
468,jedna,one
469,widzieć,see
470,swoim,with his
471,kobiety,women
472,uważaj,be careful
473,najpierw,Firstly
474,właściwie,actually
475,dam,dam
476,również,also
477,diabła,devil
478,chcą,want to
479,którym,which
480,zrób,make
481,da,da
482,jednego,one
483,dać,to give
484,musiał,muster
485,ręce,hands
486,powinienem,I should
487,których,which
488,znów,again
489,powiedziała,she said
490,wczoraj,yesterday
491,czujesz,you feel
492,zaczekaj,Wait
493,sądzę,I think
494,śmierć,death
495,mówił,said
496,podczas,during
497,której,which
498,całkiem,quite
499,pracę,work
500,żona,wife
501,pójdę,I will go
502,pamiętam,I remember
503,powiedziałeś,you said
504,mówią,they say
505,wiemy,we know
506,jezu,Jesus
507,witam,Hello
508,cholery,cholera
509,swoich,herself
510,telefon,Telephone
511,wielu,many
512,także,too
513,poważnie,seriously
514,skoro,since
515,miejsca,places
516,robię,I am doing
517,śmierci,death
518,słyszałem,I heard
519,wina,fault
520,zrobiłem,I did
521,dobranoc,good night
522,parę,a couple
523,prawdę,truth
524,swojej,his
525,serce,heart
526,inaczej,otherwise
527,dziewczyny,Girls
528,kobieta,woman
529,powiesz,you will say
530,martw,worry
531,rób,do
532,pytanie,question
533,pięć,bake
534,innych,other
535,one,they
536,gra,game
537,natychmiast,immediately
538,wrócić,come back
539,szybciej,faster
540,jednym,one
541,cokolwiek,whatever
542,wierzę,I believe
543,wcale,at all
544,wieczór,evening
545,ważne,important
546,człowieka,human
547,wielki,large
548,nowa,new
549,dopiero,only
550,ziemi,land
551,gdybym,if I
552,tata,dad
553,poznać,to get to know
554,stać,be
555,jack,jack
556,myślałam,I thought
557,witaj,Welcome
558,słowa,words
559,zrobiłeś,you made
560,gówno,shit
561,john,john
562,dolarów,dollars
563,sprawę,matter
564,inne,another
565,idziesz,you go
566,miałam,I had
567,wiecie,you know
568,chciałam,I wanted
569,zobaczenia,see
570,widziałeś,you've seen
571,żyć,lives
572,każdym,each
573,nasza,our
574,panią,lady
575,wspaniale,excellent
576,chwili,moment
577,każdego,every
578,nowego,new
579,nieźle,not bad
580,takich,such
581,między,between
582,dostać,to receive
583,powinien,should
584,dawaj,come on
585,dopóki,as long as
586,naszych,our
587,naszej,ours
588,świata,world
589,chłopaki,boys
590,chcemy,we want
591,poczekaj,wait
592,jaką,what
593,człowieku,Man
594,czasem,sometimes
595,żadnego,any
596,inny,other
597,przynajmniej,at least
598,nazywa,call
599,super,cool
600,naszego,our
601,szczęście,luck
602,potrzebuje,need
603,godziny,hours
604,zabrać,take
605,powrotem,back
606,syn,son
607,lecz,but
608,słucham,I'm listening
609,twoich,your
610,udało,succeeded
611,boga,god
612,pokój,room
613,działa,it works
614,ogóle,at all
615,naszym,our
616,szkoły,school
617,możliwe,possible
618,wiedział,he knew
619,wyjść,exit
620,wszystkiego,all
621,byłoby,would be
622,daleko,far
623,wieczorem,in the evening
624,skarbie,Honey
625,jaka,what
626,mógłbym,I could
627,ostatni,last
628,możecie,you can
629,cztery,four
630,doktorze,doctors
631,zrobimy,we will do
632,mąż,husband
633,przeciwko,against
634,zgadza,agree
635,zrobisz,do
636,czasie,time
637,czasami,sometimes
638,brzmi,sound
639,raczej,rather
640,ciało,body
641,należy,belongs
642,miasta,cities
643,miałeś,you had
644,taką,such
645,brat,brother
646,cieszę,I'm happy
647,rozmawiać,to talk
648,cała,whole
649,czymś,on
650,wybacz,Sorry
651,twarz,face
652,mała,little
653,chcecie,you want
654,dr,drum
655,pojęcia,concepts
656,lubisz,do you like
657,głowę,head
658,najbardziej,the most
659,dziwne,weird
660,głowy,head
661,wody,water
662,pół,half
663,wiadomość,message
664,policja,Police
665,strony,pages
666,l,l
667,pl,en
668,mogłem,I could
669,mieli,they had
670,widzenia,vision
671,pewna,certain
672,ruszaj,go
673,wracaj,come back
674,ode,from
675,popatrz,look
676,końca,end
677,plan,plan
678,kiedykolwiek,whenever
679,wejść,entrance
680,została,she stayed
681,rok,year
682,syna,son
683,uda,thighs
684,wrócę,come back
685,zewnątrz,outside
686,droga,way
687,uwierzyć,believe
688,późno,late
689,zostało,left
690,zostanie,will
691,zły,bad
692,kapitanie,captain
693,potrzebujemy,We need
694,byliśmy,We were
695,zobaczymy,we'll see
696,gotowy,ready
697,obchodzi,care
698,jechać,to go
699,rodziny,families
700,widziałam,I saw
701,drodze,road
702,czeka,waiting
703,środku,middle
704,film,movie
705,spać,to sleep
706,człowiekiem,human
707,zupełnie,quite
708,taa,taa
709,pomóż,help
710,mieliśmy,we had
711,pomoc,help
712,słowo,word
713,innym,other
714,ostatnio,lately
715,and,and
716,zna,know
717,mogła,she could
718,pójść,go
719,chłopcy,boys
720,wziąć,to take
721,mógłbyś,you could
722,tłumaczenie,translation
723,potrzebujesz,you need
724,słyszysz,you hear
725,blisko,near
726,godzin,hours
727,miłości,love
728,góry,mountains
729,zabił,killed
730,piękna,beautiful
731,napisów,subtitles
732,pokaż,show
733,moi,my
734,lubi,likes
735,robota,job
736,prawa,laws
737,ciężko,hard
738,kimś,in
739,dół,hole
740,rękę,hand
741,nazywam,My name is
742,wielkie,big
743,część,part
744,wkrótce,soon
745,naszą,our
746,jedziemy,we drive
747,zapomnij,forget
748,prosto,straight
749,radę,council
750,robimy,do
751,powinnaś,you should
752,gdybyś,you were
753,chociaż,though
754,zależy,it depends
755,stronie,side
756,wypadek,accident
757,tydzień,week
758,byłaś,you were
759,nowe,new
760,małe,small
761,praca,Work
762,drogę,way
763,chłopak,boy
764,zrobi,do
765,widział,seen
766,mieście,city
767,synu,son
768,oznacza,means
769,krew,blood
770,mógłby,could
771,krwi,blood
772,górę,hill
773,joe,Joe
774,wasza,yours
775,robią,do
776,tędy,this way
777,wszędzie,everywhere
778,temat,topic
779,pierwsze,first
780,zobacz,look
781,ponad,above
782,kraju,country
783,mało,little
784,racja,right
785,tymi,forth
786,cicho,quiet
787,chciała,she wanted
788,powiedziałam,I said
789,leci,flies
790,powinno,should
791,mówiąc,say
792,serca,hearts
793,chciałabym,I would like
794,miasto,city
795,george,George
796,spotkać,meet
797,mniej,less
798,e,e
799,przyjaciel,friend
800,mówiłeś,you said
801,kłopoty,troubles
802,miesięcy,monthly
803,jakąś,some
804,żaden,no
805,zostań,stay
806,roboty,robots
807,zatrzymać,stop
808,frank,franc
809,nieważne,does not matter
810,głupi,stupid
811,pa,pa
812,koleś,dude
813,sprawie,case
814,spotkanie,meeting
815,ojcze,father
816,pewnego,certain
817,spróbuj,try
818,drugi,second
819,znalazłem,I found
820,pracować,work
821,całym,All
822,zostały,left
823,złe,badly
824,niemożliwe,impossible
825,jakoś,somehow
826,zdjęcia,photos
827,stronę,direction
828,wiedzą,knowledge
829,it,IT
830,dziewczynę,girl
831,zaczyna,starting
832,mogli,they could
833,samego,alone
834,sądzisz,you think
835,rodzina,family
836,razu,once
837,trudno,hard
838,samochodu,car
839,okay,okay
840,boję,afraid
841,szkoda,pity
842,wami,you
843,charlie,charlie
844,dał,gave
845,środka,measure
846,ojcem,father
847,piękne,beautiful
848,dawno,long time ago
849,choć,though
850,panem,master
851,przykład,example
852,nagle,suddenly
853,bracie,brother
854,żadnej,any
855,drugiej,second
856,przyjaciół,friends
857,otwórz,open
858,myśleć,think
859,doktor,doctor
860,chwileczkę,waiter
861,pracuje,works
862,najlepszy,best
863,brata,brother
864,czyż,do
865,często,often
866,http,http
867,powinnam,should
868,odejść,go
869,trzech,three
870,chodźcie,come
871,nazwisko,name
872,szansę,chances
873,ciała,body
874,policji,police
875,szkole,School
876,prawdopodobnie,probably
877,serio,seriously
878,matki,mother
879,org,org
880,wolno,slow
881,sami,themselves
882,muszą,must
883,zabierz,take
884,słyszałeś,did you hear
885,siostra,sister
886,uspokój,calm
887,wystarczająco,enough
888,początku,beginning
889,faceta,man
890,problemy,problem
891,szefie,boss
892,broni,weapon
893,me,ME
894,zostawić,to leave
895,czuje,I feel
896,będziecie,you will
897,przyszedł,came
898,wiedziałam,I knew
899,kilku,a few
900,inni,others
901,b,b
902,głowie,head
903,historia,history
904,według,according to
905,www,www
906,wezmę,I'll take
907,nowym,new
908,czekać,wait
909,stój,stall
910,mężczyzna,man
911,mówiłam,I said
912,pokazać,show
913,około,about
914,wracam,come back
915,wieku,age
916,jakaś,some
917,pierwsza,first
918,niczym,like
919,zabiję,kill
920,zdjęcie,picture
921,zabawne,funny
922,rodzice,parents
923,musiałem,I had to
924,całkowicie,fully
925,sprawdzić,to check
926,mike,mike
927,przyjdzie,will come
928,sześć,six
929,kupić,to buy
930,dobrym,good
931,żonę,wife
932,dasz,give
933,pomoże,help
934,nogi,legs
935,obok,next to
936,ruszać,move
937,trzymać,keep
938,zadzwonić,call
939,panno,pan
940,godzinę,hour
941,boli,hurt
942,oraz,and
943,spokoju,tranquility
944,walczyć,fight
945,wróci,return
946,tom,volume
947,wspólnego,shared
948,zmienić,to change
949,ostatnie,last
950,uwagę,attention
951,znać,know
952,jednej,one
953,dłużej,longer
954,powie,will
955,pogadać,talk
956,łatwo,easy
957,większość,majority
958,nikomu,nobody
959,michael,michael
960,córka,daughter
961,niedługo,soon
962,powodzenia,good luck
963,tygodniu,weekly
964,włosy,hair
965,niestety,Unfortunately
966,górze,Mountain
967,kochasz,you love
968,prawdziwy,true
969,historii,story
970,ulicy,street
971,musicie,must
972,gotowi,ready
973,chwila,one SEC
974,samym,alone
975,grać,play
976,zadzwonię,I will call
977,strasznie,terribly
978,mieszka,lives
979,kocha,love
980,rady,advice
981,tyłu,so many
982,jakim,which
983,obiecuję,I promise
984,tysięcy,thousands
985,pomyślałem,I thought
986,pracuję,works
987,jedynie,only
988,pozwolić,to let
989,uwaga,attention
990,proste,simple
991,zacząć,start
992,myśl,thought
993,wstawaj,get up
994,rany,wounds
995,prawdziwe,real
996,takiej,such
997,jakiegoś,some
998,umrzeć,die
999,złego,bad
1000,okazji,occasion
1001,gotowa,ready
1002,wasze,yours
1003,słyszę,hear
1004,wojny,war
1005,wracać,return
1006,kobietą,woman
1007,brak,lack
1008,ziemię,Earth
1009,istnieje,exists
1010,gość,guest
1011,widać,can be seen
1012,chciałeś,you wanted
1013,moment,moment
1014,przysięgam,swear
1015,nienawidzę,I hate
1016,następny,next
1017,dziewczyną,girl
1018,zadzwoń,call
1019,zamiast,instead
1020,męża,husband
1021,błąd,mistake
1022,wiadomości,messages
1023,hey,hey
1024,następnym,next
1025,miało,was supposed to
1026,przyjacielem,friend
1027,wspaniałe,wonderful
1028,duży,big
1029,zatrzymaj,stop
1030,jedź,go
1031,czyli,that is
1032,młody,young
1033,daje,gives
1034,chłopcze,boy
1035,spróbować,try
1036,przyjaciele,Friends
1037,zobaczysz,you will see
1038,ach,Ah
1039,zwykle,usually
1040,głos,voice
1041,wreszcie,at last
1042,harry,Harry
1043,same,themselves
1044,uważasz,you think
1045,najlepiej,best
1046,nigdzie,nowhere
1047,list,letter
1048,uważam,I think
1049,niby,kind of
1050,cie,you
1051,zamierzam,I intend to
1052,ależ,alleys
1053,jedzenie,food
1054,dziecka,child
1055,powiedziałaś,you told
1056,zatem,therefore
1057,dajcie,give
1058,potrafię,I can
1059,mocno,tightly
1060,wrócił,return
1061,rodzinę,family
1062,szczęśliwy,lucky
1063,najlepsze,best
1064,widzi,see
1065,zrozumieć,understand
1066,zajmę,occupied
1067,zrobiła,she did
1068,żony,wives
1069,światło,light
1070,tyłek,butt
1071,łóżka,bed
1072,osób,persons
1073,moglibyśmy,we could
1074,tacy,tray
1075,los,Moose
1076,jimmy,jimmy
1077,pewnością,certainly
1078,sen,dream
1079,wielka,huge
1080,david,David
1081,mówiła,she said
1082,piękny,beautiful
1083,przyjść,come
1084,dzieckiem,baby
1085,dosyć,enough
1086,ciągu,string
1087,wspaniały,Excellent
1088,policję,police
1089,mimo,despite
1090,twarzy,face
1091,chryste,Christ
1092,hotelu,hotel
1093,znajdę,I will find
1094,obiad,lunch
1095,mary,mary
1096,szukam,I'm looking for
1097,pytania,questions
1098,pies,dog
1099,interes,business
1100,pokażę,I will show
1101,ponownie,again
1102,bogu,god
1103,pamiętaj,remember
1104,ludźmi,people
1105,jorku,york
1106,ludziom,people
1107,każdej,every
1108,puść,let go
1109,pewny,sure
1110,zła,bad
1111,dostaniesz,you will get
1112,usiądź,sit down
1113,siadaj,sit down
1114,walki,struggles
1115,reszta,rest
1116,miły,nice
1117,żoną,wife
1118,robił,did
1119,uciec,escape
1120,paul,paul
1121,żartujesz,you are kidding
1122,tygodnie,weeks
1123,poszedł,gone
1124,niezły,good
1125,powinna,She should
1126,jakiego,wherever
1127,uwielbiam,I adore
1128,małą,little
1129,filmu,film
1130,niektórzy,some
1131,wejdź,go
1132,szpitala,hospital
1133,zamiar,intention
1134,słychać,hear
1135,milionów,millions
1136,przyjaciółmi,friends
1137,mogłeś,you could
1138,wojna,war
1139,ogień,fire
1140,pójdziesz,you will go
1141,zająć,Hare
1142,kapitan,captain
1143,słyszałam,I heard
1144,zrobiłam,I did
1145,odkąd,since
1146,dobrego,good
1147,oboje,both
1148,uh,uh
1149,potrafi,can
1150,sekund,second
1151,pójdziemy,we go
1152,obawiam,afraid
1153,gotowe,finished
1154,cel,objective
1155,prezent,gift
1156,psa,dog
1157,musiała,well
1158,kobietę,woman
1159,samej,alone
1160,mnóstwo,lots of
1161,dostałem,I got
1162,patrzcie,Look
1163,przyjaciela,friend
1164,don,don
1165,kolację,dinners
1166,śmieszne,funny
1167,świetny,great
1168,pewne,certain
1169,znaczenia,meanness
1170,pięknie,beautifully
1171,centrum,center
1172,próbuję,try
1173,przyjacielu,friend
1174,bob,broad bean
1175,statek,ship
1176,zjeść,eat
1177,coraz,getting
1178,dowiedzieć,learn
1179,ładnie,nicely
1180,stoi,standing
1181,ostrożnie,carefully
1182,chłopiec,boy
1183,ciekawe,interesting
1184,duże,large
1185,boisz,boo
1186,siły,forces
1187,jeść,eat
1188,jadę,go
1189,znajdziemy,we find
1190,póki,long
1191,kobiet,women's
1192,powód,reason
1193,james,james
1194,resztę,remnant
1195,musieli,they had to
1196,przestać,stop
1197,szczerze,honestly
1198,potrafisz,you can
1199,robotę,job
1200,zobaczę,I'll see
1201,wierzysz,you believe
1202,dole,bottom
1203,dostał,He get
1204,lepsze,better
1205,znalazł,found
1206,stan,state
1207,odpowiedź,answer
1208,in,in
1209,słuchać,to listen
1210,pomyśl,idea
1211,dobrą,Okay
1212,twoi,your
1213,yeah,yeah
1214,sporo,a lot
1215,miesiąc,month
1216,martwy,dead
1217,wasz,yours
1218,poproszę,Please
1219,buty,shoes
1220,uciekaj,run away
1221,stara,old
1222,of,of
1223,gry,games
1224,całej,across
1225,facetem,guy
1226,woda,water
1227,nazywasz,you call
1228,prosić,ask
1229,samolot,plane
1230,ben,Ben
1231,pierwszym,first
1232,robicie,do
1233,gościa,guest
1234,wyboru,choice
1235,kraj,country
1236,przyszłość,future
1237,rodzaju,type
1238,widziałaś,you saw
1239,billy,billy
1240,światła,light
1241,fajnie,cool
1242,powoli,slowly
1243,części,part
1244,trudne,hard
1245,niesamowite,awesome
1246,stamtąd,from there
1247,wysokość,height
1248,henry,henry
1249,zabije,kill
1250,jaja,egg
1251,biura,offices
1252,nieprawda,not true
1253,pomiędzy,between
1254,własne,own
1255,szef,boss
1256,nową,new
1257,tygodni,weeks
1258,pomogę,help
1259,ślub,wedding
1260,dzieciaki,kids
1261,drinka,drink
1262,koło,wheel
1263,sensu,mean
1264,wielkiego,big
1265,mowy,speech
1266,skończyć,end
1267,podaj,give
1268,pasuje,it suits
1269,la,la
1270,s,s
1271,zaczął,began
1272,książki,books
1273,spotkamy,we'll meet
1274,witamy,Welcome
1275,bierz,torn
1276,więzienia,prisons
1277,d,d
1278,doskonale,excellent
1279,przyjęcie,adoption
1280,otworzyć,open
1281,dziesięć,ten
1282,słuchajcie,listen
1283,johnny,johnny
1284,znaleźliśmy,we found
1285,matką,mother
1286,rodziców,parents
1287,kolejny,next
1288,jakbym,as if
1289,patrzeć,look
1290,mogłam,I could
1291,jedyną,only
1292,ból,ache
1293,zapytać,ask
1294,lepszy,better
1295,pozwolę,let
1296,jedynym,sole
1297,chcieli,They wanted
1298,potrzeba,need
1299,pójdzie,will
1300,odejdź,Go away
1301,zamierzasz,you intend
1302,wielkim,big
1303,pieprzony,pepper
1304,oko,eye
1305,wokół,on
1306,osobą,person
1307,król,King
1308,uważa,thinks
1309,rozkaz,order
1310,ha,ha
1311,martwić,worry
1312,klucz,key
1313,pytań,questions
1314,chory,ill
1315,max,max
1316,ray,ray
1317,przyszedłem,I came
1318,san,san
1319,sytuacji,situation
1320,drugie,second
1321,wizja,vision
1322,usłyszeć,hear
1323,żebyśmy,for us
1324,zajmie,occurs
1325,powiedzieli,they said
1326,oddaj,give away
1327,nauczyć,learn
1328,miłe,nice
1329,zrobiłaś,you made
1330,jedyny,only
1331,okej,okay
1332,zamknąć,close
1333,skończy,finish
1334,jedyne,only
1335,powstrzymać,stop
1336,spoko,cool
1337,miałaś,You had
1338,brakuje,missing
1339,siedem,seven
1340,celu,target
1341,całego,whole
1342,wolny,free
1343,byłby,would
1344,de,de
1345,piwo,beer
1346,umarł,died
1347,wcześnie,early
1348,tony,tons
1349,ostatnia,final
1350,kawałek,piece
1351,przejść,pass
1352,ognia,fire
1353,dupę,ass
1354,panna,Virgin
1355,szczęśliwa,happy
1356,ktokolwiek,anyone
1357,specjalnie,especially
1358,osoby,persons
1359,sprawdź,check
1360,głupie,stupid
1361,jakbyś,somewhat
1362,zabiłeś,you killed
1363,pierwszej,first
1364,straszne,horrible
1365,alex,Alex
1366,wypadku,accident
1367,c,c
1368,seks,sex
1369,info,info
1370,minuty,minute
1371,osoba,person
1372,szukać,look for
1373,miesiące,months
1374,historię,story
1375,drugą,second
1376,pracujesz,you work
1377,dzieciak,child
1378,bill,bill
1379,wielką,huge
1380,znajdziesz,You will find
1381,abyś,do
1382,szpitalu,hospital
1383,zapomniałem,I forgot
1384,kawy,coffee
1385,jakimś,some
1386,spraw,make it happen
1387,samochodzie,car
1388,juz,done
1389,jazda,ride
1390,jim,jim
1391,telefonu,telephone
1392,chciałbyś,you would like to
1393,naprzód,forward
1394,myślą,think
1395,jedyna,only
1396,wyglądam,I look
1397,wśród,among
1398,kawę,coffee
1399,system,system
1400,przygotować,to prepare
1401,ostatniej,last
1402,zdanie,opinion
1403,zimno,cold
1404,wynoś,greater
1405,dziękujemy,thank you
1406,przynieś,bring
1407,załatwić,settle
1408,peter,peter
1409,muzyka,music
1410,zrozumiałem,I understood
1411,moc,power
1412,zostanę,I will stay
1413,swego,in
1414,stylu,style
1415,oprócz,apart from
1416,wychodzi,coming out
1417,poszło,gone
1418,jedzenia,food
1419,zostaniesz,You'll stay
1420,zaczynamy,we start
1421,wodę,water
1422,wolę,I prefer
1423,łóżku,bed
1424,znajdzie,find
1425,hmm,hmm
1426,prawdziwa,true
1427,wow,wow
1428,więzieniu,prison
1429,zajęty,occupied
1430,zrobili,did
1431,prowadzi,leading
1432,słońce,Sun
1433,codziennie,daily
1434,znak,sign
1435,usiąść,sit down
1436,złapać,to catch
1437,pobrane,downloaded
1438,sierżancie,Sergeant
1439,założę,assumption
1440,częścią,part
1441,szansa,chance
1442,that,That
1443,powiedzenia,Proverbs
1444,subedit,Subedit
1445,chodziło,it was
1446,wiedziałeś,you knew
1447,znajdź,find
1448,wieści,news
1449,samą,alone
1450,mogło,could
1451,ochotę,fancy
1452,próbowałem,I tried
1453,nick,nickname
1454,dziękuje,thank you
1455,osobiście,personally
1456,wiadomo,know
1457,cudownie,wonderfully
1458,jedzie,go
1459,fbi,FBI
1460,gratulacje,congratulations
1461,życiem,life
1462,przestańcie,stir
1463,młoda,young
1464,druga,second
1465,podróż,journey
1466,podobno,supposedly
1467,wersji,version
1468,początek,beginning
1469,szczęścia,luck
1470,eddie,eddie
1471,kolego,my friend
